,true_height,true_weight,predicted_height,predicted_weight,height_relative_error,weight_relative_error
0,97.5,14.8,84.71365,11.690888,0.1311420147235577,0.21007510778066277
1,94.9,12.6,93.05355,12.972908,0.019456789038832054,0.02959587460472473
2,76.05,8.7,80.43021,11.032433,0.057596401036530284,0.2680956961094649
3,70.05,8.8,67.616165,7.756738,0.03474425180395695,0.11855247887698094
4,95.35,12.2,99.81557,14.012373,0.04683342440064571,0.14855516152303733
5,86.05,10.0,85.9349,11.87862,0.001337613289194113,0.18786201477050782
6,72.5,9.0,60.24846,7.9300704,0.1689867743130388,0.1188810666402181
7,87.3,10.6,87.93561,12.186171,0.007280732075100262,0.14963873377386133
8,91.3,11.7,87.18718,12.071123,0.04504732129868905,0.03171992505717488
9,90.0,13.6,81.94295,11.264973,0.08952280680338541,0.17169318479650159
10,52.55,3.6,58.246502,7.4853225,0.10840155894590724,1.0792562431759305
11,81.05,11.1,82.469604,11.345931,0.017515169551974127,0.02215595073528121
12,94.1,11.3,95.39833,13.33335,0.013797350568295093,0.17994249394509637
13,58.150000000000006,6.6,63.79588,7.2335753,0.09709164856429348,0.09599626425540814
14,61.3,6.6,55.54365,6.1034865,0.09390454191173656,0.07522931243434092
15,64.9,6.6,60.750168,7.734799,0.06394194381079073,0.17193922852024893
16,55.8,5.5,51.082718,6.3267865,0.08453910581527213,0.15032482147216797
17,96.6,13.2,87.081276,12.054842,0.09853751614967483,0.08675439430005617
18,75.5,8.8,67.084785,7.7942157,0.11145979521290356,0.11429367282173858
19,86.5,10.9,95.250175,13.3105755,0.10115809798929733,0.22115371424123778
20,62.150000000000006,5.9,60.735073,7.0117474,0.022766321969435177,0.1884317559711003
21,87.45,10.9,89.25412,12.388854,0.020630301578580583,0.136592112549948
22,68.0,7.3,68.35841,7.8583856,0.005270789651309743,0.07649117299955188
23,69.05,6.9,72.48157,8.423025,0.049696848411477236,0.22072827988776603
24,93.25,15.1,88.82368,12.322686,0.04746727010200234,0.18392806653155394
25,71.85,8.8,65.61575,7.482796,0.08676752715618469,0.1496822508898649
26,85.69999999999999,12.3,82.245285,11.311448,0.04031172655566279,0.080370073396016
27,93.605,11.0,89.52119,12.429909,0.04362815203660833,0.12999170476740057
28,70.45,7.9,66.16718,7.558311,0.060792293507973334,0.04325177397909048
29,96.8,13.3,86.531364,11.97031,0.10608094585828542,0.09997667585100452
30,65.0,6.9,75.80575,10.321555,0.16624227670522837,0.4958775561788807
31,87.35,10.8,87.53905,12.125213,0.0021642500424836086,0.12270487679375536
32,92.05,13.3,90.693054,12.610049,0.014741399248030931,0.051875996410398605
33,71.45,8.6,55.084816,6.0406523,0.22904386313500485,0.29759857266448264
