,true_height,true_weight,predicted_height,predicted_weight,height_relative_error,weight_relative_error
0,48.0,2.8,49.727936,3.1503599,0.03599866231282552,0.12512852464403432
1,40.0,1.3,55.89138,3.4990916,0.39728450775146484,1.6916089424720178
2,50.0,3.1,55.165924,3.54967,0.1033184814453125,0.1450548325815508
3,49.0,2.9,47.01884,3.126949,0.040431820616430164,0.07825830064970875
4,42.0,1.47,49.63444,3.1078413,0.1817724137079148,1.114177723320163
5,50.0,3.1,45.29715,2.8640785,0.0940570068359375,0.0761037026682208
6,50.0,3.0,53.683315,3.5374796,0.07366630554199219,0.17915987968444824
7,54.0,3.15,49.345467,3.1464949,0.08619506270797164,0.0011127411373077596
8,48.0,2.8,46.919838,2.9317327,0.022503376007080078,0.0470473766326905
9,54.0,2.72,50.349213,3.4674063,0.06760717321325231,0.2747817179735968
10,50.0,3.6,55.895626,3.8439345,0.11791252136230469,0.06775959332784014
11,52.0,2.85,54.038994,3.575639,0.039211419912484974,0.2546101787634063
12,47.0,2.5,44.93788,2.8997386,0.043874862346243354,0.1598954200744629
13,48.0,2.7,50.421642,3.1573343,0.05045088132222494,0.16938308433250138
14,50.0,2.8,55.57078,3.539426,0.11141563415527343,0.26408074583326074
15,49.0,3.0,48.34232,3.121586,0.013422051254583865,0.04052869478861491
16,48.0,2.5,53.342266,3.5859728,0.11129721005757649,0.4343891143798828
17,51.0,2.95,47.403152,3.0905194,0.0705264222388174,0.047633704492601237
18,48.0,3.13,49.161793,2.905353,0.024204015731811523,0.07177218233053674
19,53.0,3.39,51.917732,3.2793283,0.02042014643831073,0.032646505530253306
20,51.0,3.2,55.996334,3.8768623,0.09796733482211244,0.21151946485042566
21,46.0,2.7,47.450542,2.9539945,0.03153353152067765,0.09407204168814193
22,51.0,3.4,51.417225,3.1113544,0.008180880079082414,0.08489577910479375
23,50.0,2.55,51.670776,3.2418306,0.03341552734375,0.2713061127008177
24,49.0,3.5,52.852844,3.3292363,0.07862947425063775,0.0487896374293736
25,51.0,2.7,52.91194,3.3327637,0.03748904957490809,0.2343569155092592
26,48.0,2.8,50.61033,3.116119,0.0543818473815918,0.1128996099744525
27,49.0,3.0,48.41775,2.9785237,0.011882626280492666,0.007158756256103516
28,45.0,1.18,45.625633,2.3893929,0.013902960883246527,1.024909197273901
29,50.0,2.7,48.461132,2.9606156,0.030777359008789064,0.09652430922896767
30,48.0,2.5,54.351616,3.4745715,0.1323253313700358,0.38982858657836916
31,51.0,2.95,46.351425,2.8714974,0.09114852606081496,0.02661105333748516
32,45.0,1.7,46.320354,2.6613467,0.029341210259331597,0.5654980435090907
33,48.0,2.85,52.171177,3.262777,0.0868995189666748,0.1448340666921515
34,48.0,2.4,46.361633,3.102243,0.03413263956705729,0.292601227760315
35,49.0,3.25,51.49813,3.3036423,0.05098226119060906,0.016505314753605768
36,44.0,1.17,47.13914,2.7297676,0.07134411551735619,1.3331346674862072
37,50.0,3.1,50.131107,3.3113015,0.0026221466064453125,0.0681617644525343
38,48.0,1.6,51.990143,3.2429972,0.08312797546386719,1.0268732309341428
39,47.0,2.7,52.02163,3.3579361,0.10684317730842753,0.24368005328708217
40,45.0,1.26,59.31063,3.7470386,0.3180140177408854,1.9738401609753806
41,51.0,3.5,47.292244,3.0806005,0.07270109887216605,0.119828428540911
42,53.0,3.2,52.125378,3.4453657,0.016502308395673643,0.07667677104473108
43,54.0,3.78,45.287983,2.714934,0.16133364924678095,0.28176346279325937
44,49.0,3.5,47.93989,2.8916326,0.021634860914580677,0.17381926945277623
45,53.0,2.59,49.751553,3.1959643,0.061291460720997934,0.2339630642452756
46,48.0,2.3,51.494038,3.3339758,0.07279245058695476,0.4495546921439794
47,53.0,4.2,54.627686,3.6201153,0.030711048054245283,0.13806779044015072
48,49.0,3.0,51.86609,3.2003162,0.05849160953443878,0.06677206357320149
49,51.0,3.15,50.329685,3.362545,0.013143427231732537,0.06747460743737602
50,46.0,2.9,49.314804,3.1930285,0.07206095819887907,0.10104429310765763
51,56.0,5.0,50.96673,3.3016474,0.08987985338483538,0.3396705150604248
52,50.0,3.2,47.831528,3.03715,0.04336944580078125,0.050890654325485285
53,49.0,3.3,53.24845,3.4494412,0.08670308638592156,0.04528521046493998
54,54.0,2.72,54.505848,3.548722,0.009367554276077836,0.30467721644569834
55,50.0,3.3,46.969406,2.8616385,0.06061187744140625,0.13283680424545746
56,50.0,3.2,48.360462,3.0296996,0.032790756225585936,0.05321888625621801
57,50.0,3.0,52.178425,3.327906,0.04356849670410156,0.10930196444193523
58,49.0,2.8,49.721447,3.3855183,0.014723407978914221,0.20911368301936567
59,51.0,3.4,51.73113,3.3644724,0.014335856718175551,0.010449297287884855
60,49.0,2.7,46.324024,2.912691,0.05461175101143973,0.07877448753074356
61,51.0,3.0,55.84305,3.549859,0.09496172736672794,0.18328634897867838
62,53.0,3.39,50.977898,3.1634665,0.038152874640698706,0.06682405499933747
63,48.0,3.1,46.785805,2.928646,0.025295734405517578,0.05527545559790829
64,51.0,3.15,53.713673,3.335472,0.053209267410577514,0.05888003394717265
65,54.0,3.5,48.65627,3.0102713,0.09895798012062355,0.13992248262677873
66,47.0,2.5,49.89621,3.1490545,0.061621483336103726,0.25962181091308595
67,51.0,3.5,49.025177,3.288886,0.038722019569546566,0.06031826564243862
68,50.0,3.3,50.39042,3.3360133,0.007808380126953125,0.010913126396410447
69,41.0,3.43,47.580215,3.1766543,0.16049305985613568,0.07386170879397383
70,50.0,4.0,54.178894,3.6259284,0.083577880859375,0.09351789951324463
71,47.0,2.65,48.625847,3.0622184,0.03459248644240359,0.15555412364455892
72,54.0,3.5,49.762604,3.1385794,0.07847030074508102,0.1032630375453404
73,55.0,3.15,51.357418,3.2273839,0.06622876253995029,0.024566302223811103
74,49.0,2.8,49.920593,3.1262443,0.018787617586096938,0.11651582377297545
75,50.0,3.1,49.151714,3.2879283,0.016965713500976563,0.06062204607071412
76,50.0,3.4,50.661312,3.195361,0.013226242065429687,0.060187970890718326
77,52.0,3.2,55.495594,3.6340957,0.06722296201265775,0.13565489649772638
78,50.0,3.8,50.024952,3.1442127,0.0004990386962890625,0.17257559926886304
79,52.0,3.4,50.731438,3.3830075,0.02439542917104868,0.004997786353616127
80,49.0,2.8,53.1429,3.8217714,0.0845489501953125,0.364918351173401
81,43.0,1.46,44.97336,2.7826002,0.04589205009992733,0.9058905235708576
82,52.0,3.4,49.06482,3.0270967,0.05644578200120192,0.10967742695527916
83,47.0,2.56,52.651512,3.1869504,0.12024493927651263,0.2449025176465511
84,49.0,2.28,54.214073,3.5062914,0.1064096567582111,0.5378471006426896
85,46.0,2.7,50.953236,3.4594407,0.10767903535262398,0.28127433635570376
86,55.0,3.0,49.85886,3.2718823,0.0934752724387429,0.09062743186950684
87,38.0,1.5,51.146446,3.307769,0.34595911126387746,1.2051793734232585
88,51.0,3.1,49.869843,3.2025278,0.022159950405943627,0.03307347143850016
89,41.0,2.2,51.523098,3.2900746,0.25666092663276485,0.4954884485764936
90,53.0,3.4,47.76589,2.7805264,0.09875682614884286,0.18219811776105094
91,52.0,3.25,51.24733,3.4429288,0.014474428617037259,0.05936270493727464
92,39.0,0.99,52.152184,3.3476813,0.3372354751978165,2.381496246414955
93,52.0,4.2,41.68187,2.5813508,0.1984255864070012,0.3853926658630371
94,49.0,3.2,56.984188,3.8415923,0.16294261387416295,0.20049759745597834
95,52.0,4.3,49.921215,3.2933884,0.03997663351205679,0.23409572867460027
96,49.0,2.8,51.645126,3.2521572,0.053982170260682395,0.161484718322754
97,49.0,2.7,52.46019,3.0990388,0.0706161187619579,0.14779216271859622
98,49.0,3.1,55.19401,3.6345522,0.12640840180066168,0.17243620657151743
99,50.0,2.37,43.045555,2.6695886,0.13908889770507812,0.12640867756388857
100,50.0,3.2,52.025974,3.484593,0.040519485473632814,0.08893528580665583
101,47.0,2.16,47.158066,2.8520005,0.0033631020403922874,0.32037059024528214
102,49.0,3.3,48.684742,3.2051077,0.0064338372678172835,0.028755245786724615
103,49.0,2.8,48.156143,3.0144815,0.01722156758211097,0.07660055160522468
104,51.0,3.9,50.87566,3.420716,0.002438040340647978,0.12289332120846477
105,50.0,4.1,51.725742,3.0824337,0.034514846801757815,0.24818690230206739
106,51.0,3.7,45.733765,2.9920287,0.10325951669730392,0.191343591019914
107,52.0,3.2,51.399387,3.173031,0.011550243084247295,0.008427783846855219
108,50.0,3.0,52.188263,3.0903378,0.0437652587890625,0.030112584431966145
109,50.0,3.14,54.9325,3.7320094,0.09864997863769531,0.1885380289357179
110,48.0,2.7,48.501217,3.077411,0.010442018508911133,0.13978182827984836
111,51.0,3.0,49.354065,3.117735,0.032273236443014705,0.0392449696858724
112,50.0,3.5,50.3236,3.0383706,0.006472015380859375,0.13189411163330078
113,52.0,4.3,51.40939,3.2886229,0.011357894310584435,0.23520398694415423
114,52.0,3.5,49.60395,3.236562,0.046077874990609974,0.07526799610682897
115,52.0,3.5,55.245224,3.594307,0.062408153827373795,0.026944841657366072
116,54.0,3.5,49.309814,2.8481593,0.08685528790509259,0.18624019622802734
117,51.0,3.2,46.310463,3.0445952,0.09195170683019302,0.04856398701667791
118,47.0,2.3,52.10925,3.4452133,0.10870742797851562,0.4979188338569974
119,50.0,2.9,49.434223,3.1503904,0.011315536499023438,0.0863415126142831
120,49.0,2.8,49.09522,3.395399,0.001943237927495217,0.2126425334385464
121,48.0,2.7,49.774433,3.1912916,0.03696735699971517,0.18195984098646367
122,42.0,1.61,47.008194,2.97034,0.11924271356491815,0.8449316854062286
123,52.0,2.85,51.417328,3.3050177,0.011205233060396634,0.15965533674808968
124,51.0,3.5,51.609608,3.3183277,0.011953092088886336,0.05190638133457729
125,54.0,4.7,46.12632,2.8602715,0.14580889101381656,0.3914316055622507
126,47.0,2.24,49.69913,2.99321,0.05742831940346576,0.33625449878828856
127,50.0,3.2,49.283012,3.1050098,0.014339752197265625,0.02968443930149084
128,50.0,3.5,51.72245,3.5202293,0.034449005126953126,0.005779811314174107
129,39.0,0.99,49.285904,3.2227154,0.26374112642728365,2.255268058391532
130,45.0,1.35,44.904713,2.3137972,0.0021174960666232637,0.7139238781399196
131,48.0,2.6,52.73239,3.3690445,0.09859148661295573,0.29578636242793155
132,48.0,2.8,51.394516,3.351963,0.07071908315022786,0.19712965829031814
133,52.0,3.12,49.47785,3.1276524,0.04850284869854267,0.00245269445272589
134,54.0,3.9,51.49641,3.4909496,0.04636277092827691,0.10488471006735775
135,52.0,3.3,50.75853,3.2385204,0.023874429556039665,0.01863018671671544
136,47.0,2.6,48.43601,3.269502,0.03055337134827959,0.25750074019798863
137,42.0,1.17,51.93609,3.419954,0.23657353719075522,1.9230376594087
138,51.0,3.5,49.725044,3.0918157,0.024999132343367033,0.116624082837786
139,50.0,3.3,51.0403,3.122975,0.02080596923828125,0.053643905755245275
140,53.0,2.59,51.76822,3.2046022,0.02324115105395047,0.23729816274753415
141,54.0,4.2,53.806778,3.5321038,0.00357818603515625,0.15902291025434226
142,47.0,2.4,47.27689,3.0035796,0.005891272362242354,0.25149150689442956
143,50.0,3.4,53.23669,3.449132,0.0647338104248047,0.01445057812859033
144,50.0,3.45,51.48251,3.4204671,0.029650192260742187,0.008560249770897073
145,51.0,3.54,52.517662,3.3324814,0.029758079379212623,0.058621077887756015
146,49.0,2.7,46.435173,2.8005595,0.05234340745575574,0.03724426693386495
147,51.0,2.47,49.68657,2.947075,0.025753544826133578,0.1931477288002909
148,50.0,2.55,53.076385,3.1896381,0.0615277099609375,0.25083848541858156
149,55.0,3.9,50.683586,3.3316946,0.07848025235262784,0.14571933257274136
150,45.0,2.73,48.499336,3.2953677,0.07776302761501735,0.20709440210363367
151,49.0,3.0,51.844883,3.3408444,0.05805883602220185,0.11361479759216309
152,52.0,3.25,44.107906,2.6652992,0.15177103189321664,0.17990794548621544
153,48.0,2.47,46.45365,2.8996375,0.03221559524536133,0.17394229178486556
